origin_id,destination,total_cost,width
114,115,38.0065356,6
114,129,59.0551112,6
114,319,116.1967704,6
115,129,21.0485756,6
115,191,55.767185,6
116,219,35.2301642,3
117,127,79.4370868,4
117,181,49.536927,3
117,298,209.3924312,4
118,148,147.4524172,7
118,360,471.0551034,3
118,420,42.9551122,3
119,146,122.9342914,5
119,352,27.7633311,4
119,373,95.87449,4
120,121,80.1492483,3
120,334,78.7594782,4
121,334,31.0708713,4
121,408,40.7239734,3
122,123,75.750884,10
122,169,102.7996575,4
123,230,143.459822,10
123,268,507.9971154,4
124,125,84.6878143,3
124,246,29.4450849,3
124,431,7.0874843,7
125,150,116.1883238,3
125,263,38.4363528,3
126,196,156.5522045,7
126,234,36.081761,7
126,237,9.623398,7
127,128,22.9972998,4
127,206,39.8354901,4
128,317,126.7743742,4
129,191,76.8157607,6
129,192,141.3876196,6
130,131,20.994534,7
130,258,95.7200279,3
130,342,40.4078907,7
131,223,5.8113044,10
131,340,34.8274582,7
132,315,134.2538466,10
132,385,38.5830272,10
133,146,120.7135576,4
133,397,197.3733919,4
134,135,164.0483908,5
134,323,86.6320563,3
135,154,192.9734279,5
135,189,73.9959004,5
136,149,87.5760848,8
136,360,100.0476713,8
137,138,73.4875429,3
137,144,15.240534,3
137,193,44.493672,3
138,193,117.981215,3
138,398,67.8829816,3
139,169,142.6845096,4
139,206,66.7930358,4
140,141,75.9245235,10
140,318,56.1224748,10
140,329,90.7539161,10
141,185,51.1358489,10
141,301,224.7022607,10
142,159,101.6875955,6
142,364,47.4951396,10
143,161,81.3409365,2
143,356,91.4795396,3
144,220,67.6139362,3
144,417,76.3682984,3
145,306,19.458627,10
145,381,168.8939169,10
145,385,161.7987605,10
146,215,51.4070192,5
147,199,44.0654154,7
147,221,36.7947329,10
147,271,244.6335683,7
148,149,135.97893,7
148,284,24.2222448,7
149,354,4.9045106,7
150,299,106.1552981,3
150,409,55.9401578,5
151,187,62.305861,7
152,252,20.6371638,10
152,283,142.9875979,3
153,205,226.5877665,4
153,328,34.814735,4
154,155,110.6741785,5
154,311,91.1720172,5
155,390,25.2547108,5
156,275,107.8759961,7
156,313,5.2818837,8
157,158,248.5396129,7
157,204,71.3882628,7
157,265,115.8144895,7
157,311,99.4406673,7
158,266,96.3067875,7
158,383,53.301414,7
159,160,24.387512,6
159,286,20.5642753,6
160,370,6.50582,6
160,398,12.4013163,6
161,162,27.9768212,10
161,288,124.2663319,10
161,425,90.9601655,7
162,169,48.0690217,10
162,206,153.1346389,10
162,298,101.6392305,10
163,164,4.0570171,4
163,367,96.8662855,4
163,392,71.0751188,3
164,273,52.1446755,4
164,399,189.7263424,4
165,166,111.5272362,7
165,208,127.8896431,4
165,304,35.1840933,7
166,200,121.0529798,7
166,278,224.2827279,7
166,323,126.3564388,7
167,256,58.1122273,5
167,337,323.464274,4
168,223,187.903216,3
168,305,82.7794587,3
170,171,40.3574784,4
170,384,154.8842599,7
171,238,7.0479136,4
171,239,3.4363522,4
171,401,91.2780028,4
173,174,142.8413281,10
173,289,24.8637872,10
173,345,136.9005984,10
174,396,81.7012197,10
175,331,31.0608374,5
175,388,9.066038,7
175,400,137.9109858,7
175,430,21.9114664,5
176,177,15.3287745,10
176,287,18.0432203,10
176,398,49.6033759,7
177,297,19.5069118,10
177,371,7.4458695,10
178,179,134.6509716,6
178,233,104.6446075,6
178,322,116.1354124,8
179,276,116.1052152,6
179,285,58.1307642,4
180,197,85.687876,4
181,222,136.0209746,10
181,248,189.2978623,3
182,183,69.6607337,4
182,292,64.9948379,3
